area,date,generation,avgTa,avgWs,avgRhm,ssDur,sumSsHr,sumGsr,avgTca,PM10,PM25
강원도,2016-01-01,144.042204,5.1,4.8,33.0,9.6,8.8,10.92,0.8,35.666666666666664,27.29861111111111
강원도,2016-01-02,109.358713,9.1,4.9,43.8,9.6,8.7,10.06,0.8,37.91666666666666,26.375
강원도,2016-01-03,156.69949400000002,9.0,2.6,55.8,9.6,7.2,8.68,0.8,58.94444444444444,44.35416666666666
강원도,2016-01-04,225.889445,7.4,3.4,33.8,9.6,8.4,9.63,0.8,71.56944444444444,51.81944444444444
강원도,2016-01-05,208.994071,3.0,3.7,16.3,9.7,7.6,10.03,0.8,21.22222222222222,11.618055555555555
강원도,2016-01-06,216.702621,1.9,4.7,30.3,9.7,8.6,10.36,0.8,34.236111111111114,19.40972222222222
강원도,2016-01-07,270.581268,1.3,3.8,29.3,9.7,9.0,11.25,0.8,38.77777777777778,25.6875
강원도,2016-01-08,287.925075,0.5,4.3,24.0,9.7,9.0,11.67,0.8,31.13888888888889,15.305555555555555
강원도,2016-01-09,271.663794,1.7,4.0,32.8,9.7,9.0,11.56,0.8,29.13888888888889,17.583333333333332
강원도,2016-01-10,222.592235,2.8,2.0,31.0,9.7,9.0,10.86,0.8,32.916666666666664,21.694444444444443
강원도,2016-01-11,283.583631,0.1,2.9,25.8,9.7,9.1,11.61,0.8,25.51388888888889,14.0625
강원도,2016-01-12,283.86069,-0.2,2.9,25.9,9.8,9.0,11.78,0.8,27.22222222222222,15.833333333333334
강원도,2016-01-13,214.257706,-1.0,3.8,38.0,9.8,8.6,11.51,0.8,33.94444444444444,20.756944444444443
강원도,2016-01-14,217.593941,-0.8,3.2,32.9,9.8,9.1,11.95,0.8,29.18055555555556,18.5625
강원도,2016-01-15,191.559013,0.0,1.8,44.5,9.8,8.9,11.05,0.8,39.27777777777778,25.90972222222222
강원도,2016-01-16,152.527133,1.4,2.7,46.9,9.9,4.9,7.47,0.8,45.91666666666666,31.36111111111111
강원도,2016-01-17,71.977065,3.6,1.7,60.4,9.9,0.2,5.32,0.8,54.18055555555556,41.958333333333336
강원도,2016-01-18,176.852967,-1.1,3.8,46.0,9.9,7.7,10.99,0.8,49.09027777777778,30.67361111111111
강원도,2016-01-19,312.106005,-8.4,6.2,24.9,9.9,9.3,12.56,0.8,28.95833333333333,13.569444444444445
강원도,2016-01-20,246.473854,-4.5,3.9,34.6,10.0,9.3,11.53,0.8,32.40277777777778,19.506944444444443
강원도,2016-01-21,182.144193,-2.5,3.2,29.5,10.0,4.9,8.33,0.8,36.81944444444444,23.04861111111111
강원도,2016-01-22,210.971846,-1.6,2.8,22.1,10.0,8.8,10.03,0.8,33.72222222222222,21.48611111111111
강원도,2016-01-23,306.693808,-6.2,4.1,19.6,10.0,8.7,12.6,0.8,31.47685185185185,19.02083333333333
강원도,2016-01-24,300.99153,-9.8,5.1,24.0,10.1,9.4,12.86,0.8,28.946759259259256,21.77777777777778
강원도,2016-01-25,331.69127,-5.0,4.1,26.4,10.1,9.4,13.29,0.8,30.18055555555556,18.90972222222222
강원도,2016-01-26,188.257699,0.4,5.3,34.0,10.1,9.4,13.26,0.8,42.06944444444444,24.47222222222222
강원도,2016-01-27,253.603937,2.7,4.4,32.1,10.1,9.2,11.64,0.8,58.55555555555556,38.81944444444444
강원도,2016-01-28,91.002247,2.1,2.3,37.1,10.2,2.4,5.8,0.8,44.94444444444444,27.38888888888889
강원도,2016-01-29,66.060243,0.8,1.3,76.6,10.2,0.0,1.13,0.8,33.59722222222222,22.55555555555556
강원도,2016-01-30,156.178955,1.3,0.9,87.9,10.2,1.1,4.32,0.8,22.95833333333333,16.84722222222222
강원도,2016-01-31,279.940377,0.1,1.9,54.1,10.3,8.1,11.69,0.8,45.72222222222222,32.27777777777778
강원도,2016-02-01,335.995019,-1.6,2.6,36.9,10.3,9.2,13.55,0.8,38.98611111111112,23.05555555555556
강원도,2016-02-02,348.703765,-2.1,2.4,36.0,10.3,9.6,14.54,0.8,38.388888888888886,21.069444444444443
강원도,2016-02-03,340.248851,0.4,2.8,30.6,10.4,9.7,14.56,0.8,45.208333333333336,25.77777777777778
강원도,2016-02-04,259.407935,3.2,4.0,31.8,10.4,9.0,13.93,0.8,46.85416666666666,31.28472222222222
강원도,2016-02-05,315.229698,1.6,3.5,21.8,10.4,9.1,11.91,0.8,36.56944444444444,19.98611111111111
강원도,2016-02-06,315.74648,-1.4,2.3,68.8,10.5,4.2,6.48,0.8,31.95833333333333,21.179166666666667
강원도,2016-02-07,335.065879,-0.4,2.8,43.0,10.5,9.8,15.44,0.8,33.986111111111114,23.925
강원도,2016-02-08,140.541897,2.2,3.5,47.8,10.5,5.1,7.71,0.8,47.68055555555556,34.451388888888886
